EmplID,LastName,FirstName,Email
953237356,Doe,John,jd1@humboldt.edu
951358882,Doe,John,jd1@humboldt.edu
953253320,Doe,John,jd1@humboldt.edu
951688133,Doe,John,jd1@humboldt.edu
950678592,Doe,John,jd1@humboldt.edu
952942646,Doe,John,jd1@humboldt.edu
949757945,Doe,John,jd1@humboldt.edu
953086855,Doe,John,jd1@humboldt.edu
948899009,Doe,John,jd1@humboldt.edu
950764808,Doe,John,jd1@humboldt.edu
951323964,Doe,John,jd1@humboldt.edu
949548892,Doe,John,jd1@humboldt.edu
952349573,Doe,John,jd1@humboldt.edu
010705587,Doe,John,jd1@humboldt.edu
953230401,Doe,John,jd1@humboldt.edu
010443403,Doe,John,jd1@humboldt.edu
949012577,Doe,John,jd1@humboldt.edu
011331966,Doe,John,jd1@humboldt.edu
010268696,Doe,John,jd1@humboldt.edu
950195577,Doe,John,jd1@humboldt.edu
010626417,Doe,John,jd1@humboldt.edu
010442649,Doe,John,jd1@humboldt.edu
953275186,Doe,John,jd1@humboldt.edu
953054290,Doe,John,jd1@humboldt.edu
011052206,Doe,John,jd1@humboldt.edu
953114597,Doe,John,jd1@humboldt.edu
950929375,Doe,John,jd1@humboldt.edu
953247873,Doe,John,jd1@humboldt.edu
010426958,Doe,John,jd1@humboldt.edu
951997728,Doe,John,jd1@humboldt.edu
948944951,Doe,John,jd1@humboldt.edu
951363315,Doe,John,jd1@humboldt.edu
951055683,Doe,John,jd1@humboldt.edu
011558725,Doe,John,jd1@humboldt.edu
953303396,Doe,John,jd1@humboldt.edu
010355835,Doe,John,jd1@humboldt.edu
950639865,Doe,John,jd1@humboldt.edu
946671459,Doe,John,jd1@humboldt.edu
951302020,Doe,John,jd1@humboldt.edu
953221340,Doe,John,jd1@humboldt.edu
011019914,Doe,John,jd1@humboldt.edu
011305758,Doe,John,jd1@humboldt.edu
953435788,Doe,John,jd1@humboldt.edu
951672962,Doe,John,jd1@humboldt.edu
947148351,Doe,John,jd1@humboldt.edu
011331043,Doe,John,jd1@humboldt.edu
011287857,Doe,John,jd1@humboldt.edu
946408846,Doe,John,jd1@humboldt.edu
011332850,Doe,John,jd1@humboldt.edu
953275290,Doe,John,jd1@humboldt.edu
945490695,Doe,John,jd1@humboldt.edu
010894581,Doe,John,jd1@humboldt.edu
949364227,Doe,John,jd1@humboldt.edu
011475668,Doe,John,jd1@humboldt.edu
949019909,Doe,John,jd1@humboldt.edu
948906068,Doe,John,jd1@humboldt.edu
010284413,Doe,John,jd1@humboldt.edu
010266213,Doe,John,jd1@humboldt.edu
011293187,Doe,John,jd1@humboldt.edu
951222681,Doe,John,jd1@humboldt.edu
949466251,Doe,John,jd1@humboldt.edu
951612096,Doe,John,jd1@humboldt.edu
949552545,Doe,John,jd1@humboldt.edu
949926659,Doe,John,jd1@humboldt.edu
011286245,Doe,John,jd1@humboldt.edu
010753362,Doe,John,jd1@humboldt.edu
949123090,Doe,John,jd1@humboldt.edu
949161362,Doe,John,jd1@humboldt.edu
951381372,Doe,John,jd1@humboldt.edu
011446899,Doe,John,jd1@humboldt.edu
951467536,Doe,John,jd1@humboldt.edu
011325323,Doe,John,jd1@humboldt.edu
010052168,Doe,John,jd1@humboldt.edu
950929609,Doe,John,jd1@humboldt.edu
946717284,Doe,John,jd1@humboldt.edu
